Test	SubjID	Activity	Avg_time_Body_Acceleration_Mean()_along_Xaxis	Avg_time_Body_Acceleration_Mean()_along_Yaxis	Avg_time_Body_Acceleration_Mean()_along_Zaxis	Avg_time_Body_Acceleration_StandardDev()_along_Xaxis	Avg_time_Body_Acceleration_StandardDev()_along_Yaxis	Avg_time_Body_Acceleration_StandardDev()_along_Zaxis	Avg_time_Gravity_Acceleration_Mean()_along_Xaxis	Avg_time_Gravity_Acceleration_Mean()_along_Yaxis	Avg_time_Gravity_Acceleration_Mean()_along_Zaxis	Avg_time_Gravity_Acceleration_StandardDev()_along_Xaxis	Avg_time_Gravity_Acceleration_StandardDev()_along_Yaxis	Avg_time_Gravity_Acceleration_StandardDev()_along_Zaxis	Avg_time_Body_AccelerationJerk_Mean()_along_Xaxis	Avg_time_Body_AccelerationJerk_Mean()_along_Yaxis	Avg_time_Body_AccelerationJerk_Mean()_along_Zaxis	Avg_time_Body_AccelerationJerk_StandardDev()_along_Xaxis	Avg_time_Body_AccelerationJerk_StandardDev()_along_Yaxis	Avg_time_Body_AccelerationJerk_StandardDev()_along_Zaxis	Avg_time_BodyGyro_Mean()_along_Xaxis	Avg_time_BodyGyro_Mean()_along_Yaxis	Avg_time_BodyGyro_Mean()_along_Zaxis	Avg_time_BodyGyro_StandardDev()_along_Xaxis	Avg_time_BodyGyro_StandardDev()_along_Yaxis	Avg_time_BodyGyro_StandardDev()_along_Zaxis	Avg_time_BodyGyroJerk_Mean()_along_Xaxis	Avg_time_BodyGyroJerk_Mean()_along_Yaxis	Avg_time_BodyGyroJerk_Mean()_along_Zaxis	Avg_time_BodyGyroJerk_StandardDev()_along_Xaxis	Avg_time_BodyGyroJerk_StandardDev()_along_Yaxis	Avg_time_BodyGyroJerk_StandardDev()_along_Zaxis	Avg_time_Body_Acceleration_Magnitude_Mean()	Avg_time_Body_Acceleration_Magnitude_StandardDev()	Avg_time_Gravity_Acceleration_Magnitude_Mean()	Avg_time_Gravity_Acceleration_Magnitude_StandardDev()	Avg_time_Body_AccelerationJerk_Magnitude_Mean()	Avg_time_Body_AccelerationJerk_Magnitude_StandardDev()	Avg_time_BodyGyro_Magnitude_Mean()	Avg_time_BodyGyro_Magnitude_StandardDev()	Avg_time_BodyGyroJerk_Magnitude_Mean()	Avg_time_BodyGyroJerk_Magnitude_StandardDev()	Avg_freq_Body_Acceleration_Mean()_along_Xaxis	Avg_freq_Body_Acceleration_Mean()_along_Yaxis	Avg_freq_Body_Acceleration_Mean()_along_Zaxis	Avg_freq_Body_Acceleration_StandardDev()_along_Xaxis	Avg_freq_Body_Acceleration_StandardDev()_along_Yaxis	Avg_freq_Body_Acceleration_StandardDev()_along_Zaxis	Avg_freq_Body_Acceleration_MeanFreq()_along_Xaxis	Avg_freq_Body_Acceleration_MeanFreq()_along_Yaxis	Avg_freq_Body_Acceleration_MeanFreq()_along_Zaxis	Avg_freq_Body_AccelerationJerk_Mean()_along_Xaxis	Avg_freq_Body_AccelerationJerk_Mean()_along_Yaxis	Avg_freq_Body_AccelerationJerk_Mean()_along_Zaxis	Avg_freq_Body_AccelerationJerk_StandardDev()_along_Xaxis	Avg_freq_Body_AccelerationJerk_StandardDev()_along_Yaxis	Avg_freq_Body_AccelerationJerk_StandardDev()_along_Zaxis	Avg_freq_Body_AccelerationJerk_MeanFreq()_along_Xaxis	Avg_freq_Body_AccelerationJerk_MeanFreq()_along_Yaxis	Avg_freq_Body_AccelerationJerk_MeanFreq()_along_Zaxis	Avg_freq_BodyGyro_Mean()_along_Xaxis	Avg_freq_BodyGyro_Mean()_along_Yaxis	Avg_freq_BodyGyro_Mean()_along_Zaxis	Avg_freq_BodyGyro_StandardDev()_along_Xaxis	Avg_freq_BodyGyro_StandardDev()_along_Yaxis	Avg_freq_BodyGyro_StandardDev()_along_Zaxis	Avg_freq_BodyGyro_MeanFreq()_along_Xaxis	Avg_freq_BodyGyro_MeanFreq()_along_Yaxis	Avg_freq_BodyGyro_MeanFreq()_along_Zaxis	Avg_freq_Body_Acceleration_Magnitude_Mean()	Avg_freq_Body_Acceleration_Magnitude_StandardDev()	Avg_freq_Body_Acceleration_Magnitude_MeanFreq()	Avg_freq_BodyBody_AccelerationJerk_Magnitude_Mean()	Avg_freq_BodyBody_AccelerationJerk_Magnitude_StandardDev()	Avg_freq_BodyBody_AccelerationJerk_Magnitude_MeanFreq()	Avg_freq_BodyBodyGyro_Magnitude_Mean()	Avg_freq_BodyBodyGyro_Magnitude_StandardDev()	Avg_freq_BodyBodyGyro_Magnitude_MeanFreq()	Avg_freq_BodyBodyGyroJerk_Magnitude_Mean()	Avg_freq_BodyBodyGyroJerk_Magnitude_StandardDev()	Avg_freq_BodyBodyGyroJerk_Magnitude_MeanFreq()
1	 2	          STANDING	0.2779	-0.018421	-0.10591	-0.987272	-0.957305	-0.949742	 0.8969	-0.370063	 0.129747	-0.9867	-0.9742	-0.9459	0.07476	 0.010329177	-0.00837159	-0.981086	-0.971059	-0.98284	-0.0238624	-0.082040	 0.0878352	-0.97300	-0.971442	-0.96486	-0.10556	-0.04224	-0.054654	-0.97932	-0.98345	-0.973610	-0.9658752	-0.95787	-0.9658752	-0.95787	-0.980489	-0.97668	-0.963466	-0.95394	-0.98395	-0.97720	-0.98395	-0.959872	-0.96247	-0.989056	-0.957909	-0.94643	 0.10851918	 0.0623378	 0.1044625	-0.980973	-0.970851	-0.97978	-0.983008	-0.973520	-0.984600	 0.331449	-0.056936829	 0.039650	-0.96704	-0.97258	-0.96063	-0.9750	-0.97104	-0.96975	-0.107416	-0.171160	 0.0002268	-0.964052	-0.9605194	 0.1196500	-0.9770653	-0.97516	 0.3048719	-0.9617759	-0.95679	-0.0661266	-0.97785	-0.97775	 0.1606628
1	 2	           SITTING	0.2771	-0.015688	-0.10922	-0.986822	-0.950704	-0.959828	 0.9405	-0.105630	 0.198727	-0.9800	-0.9568	-0.9544	0.07226	 0.011695451	 0.00760547	-0.988056	-0.977984	-0.98752	-0.0454707	-0.059929	 0.0412277	-0.98574	-0.978920	-0.95980	-0.09363	-0.04156	-0.043585	-0.98971	-0.99089	-0.985542	-0.9678936	-0.95308	-0.9678936	-0.95308	-0.986775	-0.98448	-0.946035	-0.96131	-0.99108	-0.98959	-0.98580	-0.957343	-0.97016	-0.987362	-0.950074	-0.95686	 0.08519282	 0.1501940	 0.0960647	-0.987849	-0.977140	-0.98513	-0.989459	-0.980804	-0.988571	 0.305547	 0.026244865	 0.092903	-0.98262	-0.98210	-0.95981	-0.9868	-0.97736	-0.96352	 0.130523	-0.192143	 0.0409472	-0.961274	-0.9555756	 0.1309342	-0.9838747	-0.98412	 0.2800624	-0.9718406	-0.96139	-0.1063589	-0.98986	-0.98963	 0.1947221
1	 2	            LAYING	0.2814	-0.018159	-0.10725	-0.974059	-0.980277	-0.984233	-0.5098	 0.752537	 0.646835	-0.9590	-0.9882	-0.9842	0.08260	 0.012254788	-0.00180265	-0.985872	-0.983173	-0.98844	-0.0184766	-0.111801	 0.1448828	-0.98828	-0.982292	-0.96031	-0.10197	-0.03586	-0.070178	-0.99324	-0.98957	-0.988036	-0.9774355	-0.97287	-0.9774355	-0.97287	-0.987742	-0.98552	-0.950012	-0.96116	-0.99177	-0.98972	-0.97673	-0.979801	-0.98438	-0.973246	-0.981025	-0.98479	-0.14648279	 0.2572895	 0.4025326	-0.985814	-0.982768	-0.98620	-0.987250	-0.984987	-0.989345	 0.159808	 0.121206424	 0.190558	-0.98643	-0.98332	-0.96267	-0.9889	-0.98191	-0.96317	 0.102611	 0.042281	 0.0552986	-0.975110	-0.9751214	 0.2662982	-0.9853741	-0.98457	 0.3417586	-0.9721130	-0.96110	 0.0185645	-0.99025	-0.98949	 0.2648015
1	 2	           WALKING	0.2764	-0.018595	-0.10550	-0.423643	-0.078091	-0.425258	 0.9130	-0.346607	 0.084727	-0.9727	-0.9721	-0.9721	0.06181	 0.018249268	 0.00789534	-0.277530	-0.016602	-0.58609	-0.0530258	-0.048238	 0.0828337	-0.56155	-0.538454	-0.48109	-0.08188	-0.05383	-0.051494	-0.38955	-0.63414	-0.435493	-0.2904076	-0.42254	-0.2904076	-0.42254	-0.281424	-0.16415	-0.446549	-0.55302	-0.54791	-0.55780	-0.34605	-0.021905	-0.45381	-0.457651	-0.169220	-0.45522	-0.14579549	 0.1985865	 0.0688995	-0.304615	-0.078764	-0.55496	-0.314313	-0.015333	-0.615898	-0.072710	-0.263574018	-0.254846	-0.42971	-0.55477	-0.39666	-0.6041	-0.53305	-0.55986	 0.007280	-0.042701	 0.1397521	-0.324289	-0.5771052	 0.3932062	-0.1690644	-0.16409	 0.2075009	-0.5307048	-0.65179	 0.3052838	-0.58325	-0.55810	 0.1263446
1	 2	WALKING_DOWNSTAIRS	0.2776	-0.022661	-0.11681	 0.046367	 0.262882	-0.102838	 0.8618	-0.325780	-0.043889	-0.9404	-0.9401	-0.9314	0.11004	-0.003279591	-0.02093517	 0.147249	 0.126828	-0.34012	-0.1159474	-0.004823	 0.0971738	-0.32079	-0.415739	-0.27942	-0.05810	-0.04215	-0.071023	-0.24394	-0.46940	-0.218266	 0.0899511	 0.21559	 0.0899511	 0.21559	 0.005655	 0.22962	-0.162189	-0.27484	-0.41087	-0.34319	 0.11284	 0.278345	-0.13129	 0.016105	 0.171974	-0.16203	-0.27371161	 0.0119310	 0.0903679	 0.138121	 0.096209	-0.27150	 0.049959	 0.080833	-0.408227	-0.143898	-0.357514502	-0.234704	-0.14578	-0.36191	-0.08749	-0.3794	-0.45873	-0.42299	-0.037530	 0.077089	 0.1367750	 0.293425	-0.0214788	 0.0938321	 0.2222474	 0.22748	 0.0188355	-0.3208385	-0.37258	 0.1039712	-0.38018	-0.34370	-0.0512480
1	 2	  WALKING_UPSTAIRS	0.2472	-0.021412	-0.15251	-0.304376	 0.108027	-0.112121	 0.7907	-0.416215	-0.195888	-0.9344	-0.9238	-0.8780	0.07445	-0.009709855	 0.01948144	-0.276122	-0.185649	-0.57375	-0.0576913	-0.032088	 0.0688374	-0.43925	-0.466298	-0.16400	-0.08289	-0.04241	-0.044516	-0.46485	-0.64549	-0.467596	-0.1073227	-0.20598	-0.1073227	-0.20598	-0.321269	-0.21739	-0.219713	-0.37753	-0.57282	-0.59729	-0.26672	 0.009924	-0.28100	-0.320582	 0.084880	-0.09454	-0.28174801	-0.0618894	-0.2365891	-0.258639	-0.187842	-0.52273	-0.365415	-0.243554	-0.625091	-0.049114	-0.287688885	-0.374218	-0.33164	-0.48809	-0.24860	-0.4764	-0.45976	-0.21807	-0.115324	-0.130358	-0.0773418	-0.145319	-0.3667282	 0.1076804	-0.1895111	-0.26042	-0.0119168	-0.4506122	-0.43862	-0.0227528	-0.60080	-0.62182	 0.0467434
1	 4	          STANDING	0.2805	-0.009489	-0.09616	-0.976921	-0.861597	-0.896881	 0.9562	-0.075901	 0.166894	-0.9729	-0.9176	-0.8994	0.07213	-0.006530157	-0.02118899	-0.972587	-0.938355	-0.97305	-0.0306449	-0.061825	 0.0755636	-0.90969	-0.949227	-0.91000	-0.10306	-0.04613	-0.049075	-0.94963	-0.97607	-0.957982	-0.9064781	-0.89098	-0.9064781	-0.89098	-0.963371	-0.95816	-0.900982	-0.88514	-0.96761	-0.96428	-0.97350	-0.889549	-0.93164	-0.978738	-0.857380	-0.88755	 0.06210000	-0.0669875	-0.0377823	-0.972311	-0.937624	-0.96865	-0.975707	-0.944075	-0.976230	 0.272214	-0.126450633	 0.071106	-0.90546	-0.95599	-0.91528	-0.9125	-0.94583	-0.91665	-0.274810	-0.364372	-0.2231092	-0.917614	-0.8953400	-0.1029718	-0.9561393	-0.96003	 0.2012622	-0.9142092	-0.88719	-0.2861283	-0.96447	-0.96643	 0.0609850
1	 4	           SITTING	0.2715	-0.007163	-0.10587	-0.980310	-0.890224	-0.932203	 0.8693	 0.211623	 0.110120	-0.9814	-0.9327	-0.9509	0.07845	-0.010858217	-0.01215000	-0.976742	-0.944596	-0.97904	-0.0494435	-0.089430	 0.1011503	-0.97013	-0.958468	-0.92797	-0.09695	-0.04185	-0.048996	-0.96990	-0.98444	-0.968805	-0.9356948	-0.91441	-0.9356948	-0.91441	-0.970132	-0.96255	-0.926063	-0.92890	-0.98049	-0.97581	-0.97746	-0.905783	-0.95178	-0.981908	-0.889467	-0.92700	 0.03738176	 0.0787860	 0.0120943	-0.976846	-0.944298	-0.97515	-0.978777	-0.949293	-0.981699	 0.213020	-0.075289966	 0.012246	-0.96059	-0.96758	-0.93378	-0.9733	-0.95412	-0.93287	 0.109093	-0.394746	-0.1457260	-0.929002	-0.9198157	 0.0280921	-0.9625007	-0.96158	 0.2271980	-0.9487698	-0.92885	-0.2000848	-0.97655	-0.97626	 0.0859342
1	 4	            LAYING	0.2636	-0.015003	-0.11069	-0.954194	-0.941714	-0.962667	-0.4207	 0.915165	 0.341531	-0.9212	-0.9698	-0.9762	0.09345	 0.006933132	-0.00641054	-0.978303	-0.942209	-0.97851	-0.0092316	-0.093013	 0.1697204	-0.97310	-0.961109	-0.96207	-0.10502	-0.03812	-0.071216	-0.97510	-0.98686	-0.983965	-0.9545576	-0.93129	-0.9545576	-0.93129	-0.970096	-0.96079	-0.930236	-0.94703	-0.98507	-0.98270	-0.95880	-0.938883	-0.96750	-0.952465	-0.946381	-0.96215	-0.27419462	 0.3662314	 0.2013296	-0.978542	-0.943970	-0.97538	-0.980079	-0.944367	-0.980261	 0.182436	 0.098742884	 0.077021	-0.96720	-0.97219	-0.96148	-0.9751	-0.95618	-0.96581	-0.066092	-0.526890	 0.1528863	-0.939390	-0.9371880	 0.2416979	-0.9622871	-0.95804	 0.2740273	-0.9615567	-0.94710	-0.2598520	-0.98361	-0.98254	 0.2029494
1	 4	           WALKING	0.2786	-0.014840	-0.11140	-0.440830	-0.078827	-0.586253	 0.9640	-0.085854	 0.127764	-0.9838	-0.9680	-0.9630	0.07835	 0.002956024	-0.00076768	-0.297043	-0.221165	-0.75139	-0.0317983	-0.072691	 0.0805677	-0.50092	-0.665394	-0.66261	-0.11532	-0.03935	-0.055117	-0.49234	-0.80742	-0.640454	-0.3120506	-0.52768	-0.3120506	-0.52768	-0.366701	-0.31692	-0.497792	-0.55312	-0.68130	-0.73015	-0.42672	-0.149400	-0.63101	-0.447235	-0.101799	-0.59420	-0.13859164	 0.0123477	-0.0787893	-0.358883	-0.279553	-0.72899	-0.297326	-0.209900	-0.772359	-0.135280	-0.385880863	-0.325738	-0.37338	-0.68846	-0.60138	-0.5426	-0.65466	-0.71646	-0.127154	-0.274666	 0.1498515	-0.450805	-0.6511726	 0.3820964	-0.3185878	-0.32046	 0.1114865	-0.6092856	-0.59394	 0.0697301	-0.72433	-0.75777	 0.2653554
